"","Subset","Distribution of basic/consumable hygiene kits","Distribution of chlorine or other disinfecting agents","Distribution of free drinking water","Distribution of water containers ","Hygiene behaviour campaign","I don't know","Other type of aid","Refuse to answer (DO NOT READ)","Support for construction or maintenance of water and/or sanitation facilities","Support for solid waste collection and disposal","Support of diarrhoea treatment centre"
"97","Ath'thaorah","0% ","0% ","0% ","100% ","100% ","100% ","0% ","0% ","0% ","0% ","100% "
"98","Attawahi","0% ","100% ","0% ","100% ","0% ","100% ","100% ","100% ","0% ","100% ","0% "
"99","Attyal","100% ","0% ","100% ","100% ","100% ","100% ","0% ","100% ","0% ","100% ","100% "
"100","Az'zal","50% ","75% ","100% ","25% ","75% ","25% ","50% ","25% ","50% ","100% ","75% "
"101","Az Zahir (YE1405)","40% ","40% ","60% ","80% ","40% ","60% ","40% ","20% ","60% ","40% ","60% "
"102","Ba'dan","67% ","67% ","67% ","67% ","67% ","67% ","67% ","33% ","0% ","33% ","0% "
"103","Bajil","100% ","100% ","0% ","0% ","0% ","100% ","100% ","0% ","0% ","0% ","100% "
"104","Bakil Al Mir","100% ","100% ","0% ","0% ","100% ","100% ","0% ","0% ","100% ","0% ","0% "
"105","Bani Al Awam","100% ","100% ","100% ","0% ","100% ","100% ","0% ","0% ","0% ","100% ","0% "
"106","Bani Dhabyan","100% ","0% ","100% ","0% ","0% ","0% ","0% ","100% ","0% ","100% ","0% "
"107","Bani Hushaysh","100% ","0% ","0% ","100% ","100% ","100% ","0% ","0% ","0% ","0% ","0% "
"108","Bani Matar","100% ","100% ","100% ","0% ","100% ","100% ","0% ","0% ","100% ","0% ","0% "
"109","Bani Suraim","0% ","0% ","0% ","0% ","100% ","100% ","0% ","0% ","100% ","0% ","0% "
"110","Baqim","50% ","100% ","100% ","0% ","50% ","0% ","100% ","50% ","50% ","50% ","50% "
"111","Bayhan","0% ","0% ","100% ","0% ","100% ","100% ","0% ","100% ","0% ","100% ","0% "
"112","Bidbadah","67% ","33% ","67% ","67% ","0% ","100% ","100% ","33% ","67% ","0% ","0% "
"113","Bilad Ar Rus","0% ","0% ","0% ","0% ","100% ","100% ","100% ","100% ","100% ","0% ","100% "
"114","Bilad At Ta'am","50% ","0% ","100% ","100% ","50% ","50% ","50% ","100% ","0% ","50% ","0% "
"115","Brom Mayfa","50% ","100% ","100% ","0% ","0% ","50% ","50% ","50% ","0% ","50% ","100% "
"116","Bura","67% ","67% ","33% ","67% ","67% ","33% ","100% ","100% ","33% ","67% ","33% "
"117","Craiter","100% ","100% ","100% ","100% ","100% ","0% ","100% ","0% ","0% ","0% ","0% "
"118","Dar Sad","100% ","100% ","100% ","0% ","100% ","0% ","0% ","0% ","100% ","100% ","100% "
"119","Daw'an","0% ","100% ","0% ","0% ","0% ","100% ","100% ","100% ","100% ","100% ","100% "
"120","Dawran Aness","25% ","25% ","50% ","75% ","50% ","50% ","50% ","25% ","75% ","50% ","50% "
"121","Dhamar City","50% ","0% ","100% ","100% ","0% ","100% ","0% ","50% ","50% ","50% ","50% "
"122","Dhar","100% ","100% ","100% ","100% ","100% ","100% ","100% ","0% ","100% ","100% ","0% "
"123","Dhi Bin","100% ","100% ","0% ","0% ","0% ","0% ","0% ","100% ","100% ","100% ","0% "
"124","Dhi Na'im","67% ","100% ","100% ","67% ","67% ","100% ","33% ","33% ","0% ","33% ","67% "
"125","Dhubab","0% ","0% ","100% ","100% ","100% ","100% ","0% ","0% ","0% ","0% ","0% "
"126","Dimnat Khadir","100% ","0% ","100% ","100% ","100% ","0% ","0% ","100% ","100% ","100% ","0% "
"127","Far Al Udayn","0% ","100% ","100% ","100% ","0% ","50% ","100% ","100% ","100% ","50% ","50% "
"128","Ghamr","50% ","50% ","100% ","25% ","50% ","0% ","75% ","25% ","50% ","100% ","50% "
"129","Ghayl Ba Wazir","33% ","67% ","0% ","33% ","67% ","67% ","67% ","100% ","100% ","67% ","33% "
"130","Ghayl Bin Yamin","100% ","50% ","100% ","100% ","0% ","50% ","100% ","50% ","50% ","0% ","100% "
"131","Habban","0% ","0% ","0% ","100% ","100% ","100% ","0% ","0% ","0% ","0% ","100% "
"132","Habil Jabr","40% ","60% ","40% ","60% ","20% ","0% ","40% ","0% ","80% ","100% ","40% "
"133","Habur Zulaymah","50% ","50% ","0% ","50% ","50% ","50% ","50% ","50% ","0% ","0% ","0% "
"134","Hagr As Sai'ar","0% ","100% ","50% ","0% ","0% ","0% ","50% ","100% ","50% ","50% ","50% "
"135","Hajjah","50% ","50% ","0% ","100% ","50% ","100% ","100% ","50% ","100% ","0% ","50% "
"136","Hajjah City","0% ","100% ","0% ","100% ","100% ","0% ","100% ","100% ","0% ","100% ","0% "
"137","Hajr","0% ","67% ","100% ","67% ","100% ","33% ","67% ","33% ","0% ","33% ","67% "
"138","Halimayn","100% ","0% ","100% ","100% ","100% ","0% ","0% ","0% ","0% ","100% ","100% "
"139","Harf Sufyan","50% ","100% ","50% ","0% ","50% ","50% ","50% ","50% ","50% ","50% ","50% "
"140","Harib","100% ","50% ","50% ","50% ","50% ","0% ","0% ","50% ","100% ","100% ","50% "
"141","Harib Al Qaramish","0% ","100% ","50% ","50% ","50% ","50% ","50% ","50% ","50% ","100% ","50% "
"142","Hatib","100% ","100% ","100% ","100% ","0% ","100% ","100% ","0% ","0% ","0% ","100% "
"143","Hawf","100% ","100% ","0% ","0% ","100% ","0% ","100% ","100% ","100% ","0% ","100% "
"144","Haydan","100% ","0% ","0% ","100% ","100% ","100% ","0% ","0% ","100% ","0% ","100% "
"145","Hayran","33% ","33% ","0% ","67% ","33% ","67% ","67% ","67% ","33% ","67% ","33% "
"146","Hazm Al Udayn","67% ","33% ","67% ","67% ","67% ","0% ","33% ","67% ","67% ","0% ","33% "
"147","Hubaysh","33% ","100% ","67% ","33% ","33% ","67% ","33% ","67% ","33% ","33% ","67% "
"148","Hufash","50% ","50% ","100% ","50% ","50% ","50% ","50% ","0% ","100% ","0% ","50% "
"149","Huraidhah","67% ","67% ","67% ","17% ","50% ","67% ","50% ","67% ","33% ","33% ","33% "
"150","Huswain","0% ","0% ","0% ","0% ","0% ","0% ","100% ","100% ","100% ","0% ","0% "
"151","Huth","67% ","33% ","33% ","33% ","33% ","33% ","33% ","33% ","100% ","100% ","0% "
"152","Ibb","0% ","0% ","100% ","100% ","100% ","100% ","0% ","0% ","0% ","100% ","100% "
"153","Jabal Ash sharq","0% ","100% ","100% ","0% ","0% ","0% ","100% ","0% ","100% ","100% ","0% "
"154","Jabal Habashy","67% ","33% ","67% ","33% ","100% ","33% ","100% ","100% ","67% ","33% ","0% "
"155","Jabal Ra's","50% ","50% ","50% ","100% ","50% ","100% ","0% ","50% ","50% ","0% ","100% "
"156","Jahaf","100% ","100% ","0% ","100% ","0% ","100% ","100% ","0% ","100% ","100% ","0% "
"157","Jahran","100% ","50% ","100% ","100% ","50% ","0% ","50% ","0% ","50% ","50% ","50% "
"158","Jardan","0% ","0% ","50% ","0% ","0% ","100% ","50% ","50% ","50% ","50% ","50% "
"159","Jayshan","50% ","50% ","50% ","0% ","0% ","100% ","0% ","100% ","100% ","50% ","50% "
"160","Jihanah","33% ","67% ","33% ","100% ","67% ","67% ","67% ","33% ","67% ","67% ","33% "
"161","Juban","50% ","50% ","50% ","50% ","0% ","0% ","100% ","50% ","50% ","50% ","50% "
"162","Kamaran","33% ","100% ","33% ","33% ","67% ","33% ","67% ","33% ","33% ","0% ","100% "
"163","Khamir","100% ","100% ","50% ","50% ","50% ","0% ","100% ","50% ","100% ","0% ","100% "
"164","Khanfir","100% ","100% ","100% ","0% ","50% ","50% ","50% ","100% ","50% ","50% ","50% "
"165","Kharab Al Marashi","50% ","50% ","0% ","50% ","50% ","50% ","50% ","50% ","0% ","0% ","100% "
"166","Kharif","0% ","0% ","100% ","0% ","100% ","0% ","0% ","0% ","100% ","0% ","0% "
"167","Khayran Al Muharraq","0% ","0% ","0% ","0% ","0% ","0% ","100% ","100% ","0% ","0% ","100% "
"168","Khur Maksar","100% ","100% ","0% ","0% ","100% ","100% ","0% ","0% ","0% ","100% ","100% "
"169","Khwlan","0% ","100% ","0% ","100% ","0% ","100% ","100% ","0% ","100% ","100% ","100% "
"170","Kitaf wa Al Boqe'e","100% ","0% ","0% ","0% ","100% ","100% ","0% ","0% ","100% ","100% ","100% "
"171","Kuhlan Affar","0% ","0% ","100% ","100% ","0% ","0% ","0% ","100% ","0% ","0% ","100% "
"172","Kuhlan Ash Sharaf","100% ","0% ","100% ","0% ","0% ","100% ","100% ","0% ","100% ","0% ","0% "
"173","Lawdar","33% ","0% ","67% ","67% ","100% ","100% ","67% ","100% ","33% ","33% ","33% "
"174","Ma'ain","33% ","33% ","33% ","33% ","67% ","33% ","67% ","67% ","67% ","33% ","33% "
"175","Mabyan","0% ","100% ","100% ","100% ","0% ","100% ","0% ","100% ","0% ","0% ","100% "
"176","Mahliyah","100% ","100% ","100% ","100% ","100% ","0% ","100% ","0% ","0% ","100% ","0% "
"177","Majz","67% ","100% ","67% ","33% ","100% ","33% ","67% ","0% ","0% ","67% ","33% "
"178","Majzar","75% ","25% ","25% ","25% ","25% ","100% ","50% ","25% ","50% ","25% ","50% "
"179","Man'ar","100% ","100% ","0% ","100% ","0% ","100% ","0% ","100% ","100% ","0% ","0% "
"180","Manakhah","0% ","0% ","50% ","0% ","100% ","0% ","100% ","50% ","100% ","0% ","0% "
"181","Maqbanah","0% ","0% ","50% ","50% ","50% ","100% ","50% ","50% ","100% ","0% ","50% "
"182","Marib","0% ","0% ","0% ","100% ","0% ","100% ","100% ","100% ","0% ","0% ","0% "
"183","Marib City","0% ","100% ","100% ","100% ","100% ","0% ","0% ","100% ","0% ","0% ","100% "
"184","Mashra'a Wa Hadnan","0% ","100% ","50% ","50% ","100% ","0% ","100% ","50% ","50% ","50% ","50% "
"185","Maswarah","50% ","50% ","0% ","25% ","75% ","75% ","0% ","75% ","50% ","50% ","50% "
"186","Mawiyah","0% ","67% ","67% ","100% ","67% ","100% ","33% ","33% ","33% ","33% ","33% "
"187","Mawza","100% ","100% ","0% ","0% ","100% ","100% ","0% ","100% ","0% ","100% ","100% "
"188","Mayfa'a","50% ","0% ","50% ","0% ","50% ","50% ","50% ","50% ","50% ","0% ","50% "
"189","Mayfa'at Anss","100% ","0% ","100% ","0% ","0% ","0% ","100% ","0% ","100% ","0% ","100% "
"190","Mazhar","0% ","67% ","33% ","67% ","67% ","0% ","67% ","33% ","33% ","67% ","100% "
"191","Medghal","50% ","100% ","50% ","50% ","100% ","100% ","50% ","0% ","50% ","0% ","50% "
"192","Merkhah Al Ulya","50% ","0% ","50% ","0% ","50% ","100% ","50% ","100% ","50% ","50% ","0% "
"193","Merkhah As Sufla","100% ","0% ","100% ","100% ","100% ","0% ","0% ","100% ","0% ","100% ","0% "
"194","Monabbih","100% ","100% ","100% ","100% ","100% ","0% ","100% ","0% ","100% ","100% ","100% "
"195","Mudhaykhirah","100% ","100% ","100% ","0% ","0% ","100% ","100% ","100% ","0% ","100% ","100% "
"196","Mudiyah","0% ","0% ","100% ","100% ","0% ","0% ","100% ","100% ","100% ","100% ","0% "
"197","Mukayras","0% ","50% ","100% ","50% ","0% ","50% ","100% ","100% ","50% ","100% ","50% "
"198","Mustaba","50% ","100% ","50% ","50% ","0% ","50% ","100% ","50% ","50% ","100% ","0% "
"199","Na'man","0% ","100% ","100% ","0% ","0% ","100% ","100% ","100% ","100% ","0% ","0% "
"200","Najrah","0% ","0% ","0% ","0% ","0% ","0% ","100% ","0% ","0% ","0% ","0% "
"201","Nati'","67% ","33% ","33% ","100% ","33% ","67% ","33% ","67% ","0% ","100% ","33% "
"202","Nihm","0% ","33% ","0% ","33% ","33% ","67% ","100% ","67% ","67% ","0% ","67% "
"203","Nisab","33% ","33% ","33% ","33% ","33% ","33% ","67% ","67% ","67% ","33% ","33% "
"204","Old City","100% ","33% ","67% ","33% ","33% ","67% ","67% ","33% ","100% ","0% ","0% "
"205","Qa'atabah","33% ","33% ","33% ","33% ","67% ","33% ","67% ","33% ","33% ","67% ","33% "
"206","Qafl Shamer","50% ","0% ","50% ","100% ","100% ","0% ","50% ","100% ","100% ","0% ","0% "
"207","Qarah","0% ","50% ","50% ","100% ","0% ","50% ","0% ","50% ","50% ","50% ","100% "
"208","Qishn","100% ","100% ","50% ","0% ","100% ","50% ","0% ","50% ","50% ","50% ","0% "
"209","Rada'","100% ","33% ","100% ","67% ","33% ","67% ","67% ","0% ","33% ","33% ","67% "
"210","Radfan","100% ","0% ","0% ","100% ","0% ","100% ","100% ","0% ","100% ","100% ","0% "
"211","Radman Al Awad","67% ","33% ","33% ","100% ","0% ","67% ","67% ","0% ","33% ","0% ","33% "
"212","Raghwan","100% ","100% ","0% ","100% ","100% ","0% ","100% ","100% ","100% ","100% ","0% "
"213","Rakhyah","33% ","0% ","0% ","0% ","67% ","33% ","67% ","33% ","33% ","33% ","33% "
"214","Rasad","100% ","100% ","0% ","100% ","0% ","100% ","100% ","100% ","100% ","0% ","0% "
"215","Raydah","100% ","0% ","50% ","50% ","50% ","50% ","0% ","50% ","100% ","50% ","100% "
"216","Razih","0% ","100% ","0% ","100% ","0% ","100% ","100% ","0% ","0% ","0% ","0% "
"217","Rumah","50% ","0% ","0% ","50% ","50% ","50% ","50% ","100% ","100% ","0% ","0% "
"218","Sa'adah","0% ","100% ","0% ","100% ","0% ","100% ","0% ","0% ","0% ","100% ","100% "
"219","Sa'fan","50% ","50% ","50% ","100% ","50% ","50% ","50% ","100% ","100% ","100% ","50% "
"220","Sabah","100% ","100% ","0% ","0% ","0% ","100% ","100% ","50% ","50% ","100% ","50% "
"221","Sabir Al Mawadim","100% ","0% ","50% ","50% ","0% ","50% ","0% ","0% ","50% ","50% ","0% "
"222","Sah","0% ","0% ","0% ","0% ","0% ","100% ","0% ","0% ","0% ","0% ","100% "
"223","Sahar","100% ","100% ","100% ","0% ","100% ","100% ","0% ","100% ","0% ","100% ","100% "
"224","Salh","0% ","0% ","100% ","0% ","50% ","0% ","50% ","0% ","50% ","0% ","50% "
"225","Sama","100% ","0% ","100% ","0% ","100% ","100% ","0% ","100% ","0% ","100% ","0% "
"226","Sanhan","50% ","50% ","0% ","50% ","50% ","100% ","50% ","0% ","0% ","0% ","50% "
"227","Saqayn","100% ","0% ","100% ","100% ","100% ","0% ","100% ","100% ","100% ","100% ","0% "
"228","Sayun","0% ","0% ","100% ","0% ","100% ","0% ","100% ","100% ","0% ","100% ","0% "
"229","Shada'a","0% ","100% ","100% ","100% ","0% ","0% ","100% ","0% ","100% ","100% ","0% "
"230","Shahan","100% ","0% ","100% ","100% ","100% ","100% ","100% ","0% ","100% ","100% ","0% "
"231","Shaharah","100% ","0% ","100% ","100% ","100% ","0% ","100% ","0% ","100% ","0% ","0% "
"232","Shara'b Ar Rawnah","67% ","0% ","33% ","67% ","33% ","100% ","33% ","67% ","33% ","67% ","33% "
"233","Shara'b As Salam","0% ","0% ","100% ","100% ","0% ","0% ","0% ","100% ","100% ","0% ","0% "
"234","Sharas","80% ","80% ","20% ","60% ","20% ","60% ","20% ","60% ","80% ","60% ","40% "
"235","Shibam","0% ","0% ","0% ","100% ","100% ","100% ","0% ","0% ","100% ","100% ","0% "
"236","Shibam Kawkaban","100% ","100% ","0% ","100% ","0% ","0% ","100% ","100% ","100% ","100% ","100% "
"237","Shu'aub","50% ","0% ","0% ","50% ","0% ","0% ","100% ","50% ","50% ","50% ","0% "
"238","Sibah","33% ","67% ","0% ","67% ","67% ","67% ","33% ","0% ","0% ","67% ","33% "
"239","Sirwah","50% ","100% ","50% ","50% ","0% ","100% ","0% ","100% ","50% ","100% ","0% "
"240","Tarim","50% ","50% ","100% ","0% ","0% ","0% ","100% ","50% ","50% ","0% ","50% "
"241","Thula","50% ","50% ","0% ","50% ","50% ","50% ","100% ","100% ","50% ","50% ","100% "
"242","Tuban","67% ","67% ","0% ","67% ","67% ","67% ","0% ","67% ","67% ","100% ","33% "
"243","Usaylan","25% ","25% ","50% ","0% ","50% ","50% ","25% ","25% ","75% ","75% ","0% "
"244","Utmah","33% ","33% ","0% ","67% ","67% ","67% ","0% ","0% ","67% ","33% ","67% "
"245","Wadi Al Ayn","0% ","0% ","0% ","0% ","0% ","0% ","100% ","0% ","0% ","0% ","0% "
"246","Washhah","100% ","100% ","0% ","100% ","0% ","0% ","100% ","0% ","100% ","100% ","100% "
"247","Wusab Al Ali","100% ","0% ","100% ","0% ","50% ","50% ","50% ","100% ","0% ","100% ","100% "
"248","Yabuth","100% ","0% ","0% ","100% ","0% ","0% ","100% ","100% ","0% ","100% ","0% "
"249","Yahr","100% ","100% ","100% ","0% ","100% ","100% ","0% ","50% ","0% ","50% ","0% "
"250","Zabid","0% ","0% ","100% ","0% ","100% ","0% ","100% ","100% ","100% ","100% ","0% "
"251","Zamakh wa Manwakh","0% ","0% ","100% ","100% ","0% ","100% ","100% ","0% ","100% ","0% ","100% "
