"","Subset","Government","I don't know","International NGO","Local NGO","Private","Refuse to answer (DO NOT READ)","United Nations"
"74","Arma",NA,NA,NA,"100% ",NA,NA,NA
"75","As Sabain",NA,NA,NA,NA,NA,NA,"100% "
"76","As Sabrah",NA,NA,"100% ",NA,NA,NA,NA
"77","As Saddah",NA,"50% ",NA,NA,NA,"50% ",NA
"78","As Safra","100% ",NA,NA,NA,NA,NA,NA
"79","As Said","50% ",NA,NA,NA,NA,NA,"50% "
"80","As Salafiyah","50% ","50% ",NA,NA,NA,NA,NA
"81","As Sawadiyah",NA,NA,"100% ",NA,NA,NA,NA
"82","As Sawm",NA,NA,"100% ",NA,NA,NA,NA
"83","As Sawma'ah",NA,NA,NA,"100% ",NA,NA,NA
"84","As Silw",NA,NA,NA,"50% ",NA,"50% ",NA
"85","As Sudah",NA,NA,NA,"100% ",NA,NA,NA
"86","Ash Sha'ir",NA,"67% ",NA,"33% ",NA,NA,NA
"87","Ash Shaghadirah","20% ","20% ",NA,"20% ","20% ",NA,"20% "
"88","Ash Shahil",NA,NA,NA,NA,"100% ",NA,NA
"89","Ash Shamayatayn",NA,"100% ",NA,NA,NA,NA,NA
"90","Ash Shihr",NA,NA,NA,NA,"100% ",NA,NA
"91","Ash Shu'ayb",NA,NA,NA,"100% ",NA,NA,NA
"92","Assafi'yah",NA,"100% ",NA,NA,NA,NA,NA
"93","At Ta'iziyah",NA,NA,NA,"100% ",NA,NA,NA
"94","At Taffah",NA,NA,NA,NA,NA,NA,"100% "
"95","At Tahrir","50% ","50% ",NA,NA,NA,NA,NA
"96","At Tawilah",NA,"50% ",NA,NA,NA,NA,"50% "
"97","Ath'thaorah","100% ",NA,NA,NA,NA,NA,NA
"98","Attawahi","100% ",NA,NA,NA,NA,NA,NA
"99","Attyal",NA,NA,NA,NA,"100% ",NA,NA
"100","Az'zal",NA,"25% ","25% ",NA,NA,"25% ","25% "
"101","Az Zahir (YE1405)","20% ",NA,NA,"20% ","20% ",NA,"40% "
"102","Ba'dan","33% ",NA,"33% ",NA,NA,NA,"33% "
"103","Bajil",NA,NA,NA,NA,"100% ",NA,NA
"104","Bakil Al Mir",NA,NA,NA,"100% ",NA,NA,NA
"105","Bani Al Awam",NA,NA,NA,NA,NA,"100% ",NA
"106","Bani Dhabyan",NA,"100% ",NA,NA,NA,NA,NA
"107","Bani Hushaysh",NA,NA,NA,NA,"100% ",NA,NA
"108","Bani Matar",NA,NA,NA,NA,"100% ",NA,NA
"109","Bani Suraim",NA,NA,NA,NA,NA,"100% ",NA
"110","Baqim",NA,NA,"50% ",NA,"50% ",NA,NA
"111","Bayhan","100% ",NA,NA,NA,NA,NA,NA
"112","Bidbadah",NA,NA,"33% ",NA,"67% ",NA,NA
"113","Bilad Ar Rus",NA,NA,NA,"100% ",NA,NA,NA
"114","Bilad At Ta'am",NA,NA,NA,NA,NA,NA,"100% "
"115","Brom Mayfa",NA,NA,"50% ",NA,NA,"50% ",NA
"116","Bura",NA,"33% ",NA,"33% ",NA,"33% ",NA
"117","Craiter",NA,NA,NA,NA,NA,NA,"100% "
"118","Dar Sad",NA,NA,NA,"100% ",NA,NA,NA
"119","Daw'an",NA,NA,NA,NA,"100% ",NA,NA
"120","Dawran Aness",NA,"25% ","50% ","25% ",NA,NA,NA
"121","Dhamar City",NA,"50% ",NA,NA,NA,"50% ",NA
"122","Dhar",NA,NA,NA,"100% ",NA,NA,NA
"123","Dhi Bin",NA,NA,NA,"100% ",NA,NA,NA
"124","Dhi Na'im","33% ","33% ",NA,NA,NA,NA,"33% "
"125","Dhubab",NA,NA,NA,"100% ",NA,NA,NA
"126","Dimnat Khadir",NA,NA,NA,NA,"100% ",NA,NA
"127","Far Al Udayn",NA,"50% ",NA,NA,"50% ",NA,NA
"128","Ghamr",NA,NA,"25% ",NA,"25% ","50% ",NA
"129","Ghayl Ba Wazir",NA,NA,NA,NA,"33% ","67% ",NA
"130","Ghayl Bin Yamin",NA,"50% ",NA,"50% ",NA,NA,NA
"131","Habban",NA,NA,NA,"100% ",NA,NA,NA
"132","Habil Jabr","40% ","20% ",NA,"20% ","20% ",NA,NA
"133","Habur Zulaymah","50% ",NA,NA,NA,NA,NA,"50% "
"134","Hagr As Sai'ar",NA,NA,"50% ","50% ",NA,NA,NA
"135","Hajjah","50% ",NA,NA,"50% ",NA,NA,NA
"136","Hajjah City",NA,NA,"100% ",NA,NA,NA,NA
"137","Hajr","67% ",NA,NA,"33% ",NA,NA,NA
"138","Halimayn",NA,NA,NA,NA,NA,NA,"100% "
"139","Harf Sufyan",NA,NA,"50% ",NA,NA,NA,"50% "
"140","Harib",NA,NA,NA,NA,NA,"100% ",NA
"141","Harib Al Qaramish",NA,NA,NA,NA,"50% ",NA,"50% "
"142","Hatib",NA,NA,NA,NA,NA,"100% ",NA
"143","Hawf",NA,NA,NA,NA,NA,"100% ",NA
"144","Haydan",NA,NA,NA,"100% ",NA,NA,NA
"145","Hayran",NA,NA,"33% ",NA,NA,NA,"67% "
"146","Hazm Al Udayn","33% ",NA,NA,NA,"33% ",NA,"33% "
"147","Hubaysh",NA,NA,"33% ","33% ","33% ",NA,NA
"148","Hufash",NA,NA,"50% ",NA,"50% ",NA,NA
"149","Huraidhah","17% ","17% ",NA,"17% ","17% ","17% ","17% "
"150","Huswain",NA,"100% ",NA,NA,NA,NA,NA
"151","Huth",NA,NA,"33% ","33% ",NA,NA,"33% "
"152","Ibb",NA,NA,NA,NA,NA,NA,"100% "
"153","Jabal Ash sharq",NA,NA,"100% ",NA,NA,NA,NA
"154","Jabal Habashy",NA,NA,"33% ","33% ",NA,NA,"33% "
"155","Jabal Ra's",NA,NA,"50% ","50% ",NA,NA,NA
"156","Jahaf",NA,"100% ",NA,NA,NA,NA,NA
"157","Jahran",NA,NA,NA,NA,"50% ",NA,"50% "
"158","Jardan",NA,NA,NA,"50% ",NA,"50% ",NA
"159","Jayshan",NA,NA,NA,"50% ",NA,"50% ",NA
"160","Jihanah","33% ","33% ",NA,NA,NA,"33% ",NA
"161","Juban","50% ",NA,"50% ",NA,NA,NA,NA
"162","Kamaran","67% ",NA,NA,NA,NA,"33% ",NA
"163","Khamir",NA,NA,"50% ","50% ",NA,NA,NA
"164","Khanfir",NA,"100% ",NA,NA,NA,NA,NA
"165","Kharab Al Marashi",NA,NA,NA,NA,"50% ",NA,"50% "
"166","Kharif",NA,NA,NA,NA,NA,"100% ",NA
"167","Khayran Al Muharraq",NA,NA,NA,NA,"100% ",NA,NA
"168","Khur Maksar",NA,"100% ",NA,NA,NA,NA,NA
"169","Khwlan",NA,"100% ",NA,NA,NA,NA,NA
"170","Kitaf wa Al Boqe'e",NA,NA,NA,NA,"100% ",NA,NA
"171","Kuhlan Affar","100% ",NA,NA,NA,NA,NA,NA
"172","Kuhlan Ash Sharaf",NA,NA,NA,NA,NA,NA,"100% "
"173","Lawdar",NA,NA,NA,"33% ",NA,"67% ",NA
"174","Ma'ain","33% ",NA,NA,NA,"33% ","33% ",NA
"175","Mabyan",NA,NA,"100% ",NA,NA,NA,NA
"176","Mahliyah",NA,NA,NA,NA,NA,"100% ",NA
"177","Majz",NA,"33% ",NA,NA,NA,"33% ","33% "
"178","Majzar",NA,NA,"25% ","25% ","50% ",NA,NA
"179","Man'ar",NA,NA,NA,NA,NA,NA,"100% "
"180","Manakhah","50% ",NA,"50% ",NA,NA,NA,NA
"181","Maqbanah",NA,NA,"50% ",NA,NA,"50% ",NA
"182","Marib",NA,NA,NA,NA,"100% ",NA,NA
"183","Marib City",NA,NA,"100% ",NA,NA,NA,NA
"184","Mashra'a Wa Hadnan","50% ",NA,NA,NA,NA,NA,"50% "
"185","Maswarah","25% ","25% ",NA,"25% ",NA,"25% ",NA
"186","Mawiyah",NA,NA,"33% ",NA,NA,NA,"67% "
"187","Mawza",NA,NA,"100% ",NA,NA,NA,NA
"188","Mayfa'a",NA,NA,"50% ",NA,"50% ",NA,NA
"189","Mayfa'at Anss",NA,NA,NA,"100% ",NA,NA,NA
"190","Mazhar",NA,NA,NA,NA,"33% ","67% ",NA
"191","Medghal",NA,NA,"50% ",NA,NA,"50% ",NA
"192","Merkhah Al Ulya",NA,NA,"50% ",NA,NA,NA,"50% "
"193","Merkhah As Sufla",NA,"100% ",NA,NA,NA,NA,NA
"194","Monabbih",NA,NA,NA,"100% ",NA,NA,NA
"195","Mudhaykhirah",NA,NA,"100% ",NA,NA,NA,NA
"196","Mudiyah",NA,NA,NA,NA,"100% ",NA,NA
"197","Mukayras",NA,NA,"50% ",NA,"50% ",NA,NA
"198","Mustaba",NA,NA,"50% ","50% ",NA,NA,NA
"199","Na'man","100% ",NA,NA,NA,NA,NA,NA
"200","Najrah",NA,NA,NA,NA,NA,NA,"100% "
"201","Nati'",NA,NA,"33% ",NA,NA,"33% ","33% "
"202","Nihm",NA,"33% ",NA,NA,NA,NA,"67% "
"203","Nisab","33% ","33% ","33% ",NA,NA,NA,NA
"204","Old City",NA,NA,"33% ","33% ",NA,NA,"33% "
"205","Qa'atabah","33% ","33% ",NA,"33% ",NA,NA,NA
"206","Qafl Shamer",NA,NA,"100% ",NA,NA,NA,NA
"207","Qarah",NA,NA,NA,NA,NA,"50% ","50% "
"208","Qishn",NA,"50% ",NA,NA,"50% ",NA,NA
"209","Rada'",NA,"33% ",NA,NA,"33% ",NA,"33% "
"210","Radfan",NA,NA,NA,NA,NA,"100% ",NA
"211","Radman Al Awad",NA,NA,"67% ",NA,NA,"33% ",NA
"212","Raghwan",NA,NA,NA,"100% ",NA,NA,NA
"213","Rakhyah",NA,NA,"33% ",NA,"67% ",NA,NA
"214","Rasad",NA,NA,NA,"100% ",NA,NA,NA
"215","Raydah","50% ",NA,NA,"50% ",NA,NA,NA
"216","Razih",NA,NA,NA,NA,"100% ",NA,NA
"217","Rumah",NA,NA,NA,NA,NA,"50% ","50% "
"218","Sa'adah",NA,NA,NA,NA,"100% ",NA,NA
"219","Sa'fan","50% ",NA,"50% ",NA,NA,NA,NA
"220","Sabah",NA,"50% ",NA,NA,NA,NA,"50% "
"221","Sabir Al Mawadim","50% ",NA,NA,NA,"50% ",NA,NA
"222","Sah",NA,NA,"100% ",NA,NA,NA,NA
"223","Sahar",NA,NA,NA,"100% ",NA,NA,NA
"224","Salh",NA,NA,"50% ",NA,NA,"50% ",NA
"225","Sama",NA,"100% ",NA,NA,NA,NA,NA
"226","Sanhan",NA,NA,NA,"50% ",NA,NA,"50% "
"227","Saqayn","100% ",NA,NA,NA,NA,NA,NA
"228","Sayun",NA,NA,"100% ",NA,NA,NA,NA
"229","Shada'a",NA,NA,NA,"100% ",NA,NA,NA
"230","Shahan",NA,NA,NA,NA,NA,"100% ",NA
"231","Shaharah","100% ",NA,NA,NA,NA,NA,NA
"232","Shara'b Ar Rawnah","33% ",NA,NA,"33% ",NA,NA,"33% "
"233","Shara'b As Salam",NA,NA,"100% ",NA,NA,NA,NA
"234","Sharas",NA,NA,"60% ","20% ","20% ",NA,NA
"235","Shibam",NA,NA,"100% ",NA,NA,NA,NA
"236","Shibam Kawkaban",NA,NA,NA,NA,"100% ",NA,NA
"237","Shu'aub",NA,NA,"100% ",NA,NA,NA,NA
"238","Sibah","33% ",NA,NA,"67% ",NA,NA,NA
"239","Sirwah",NA,"50% ",NA,NA,"50% ",NA,NA
"240","Tarim",NA,"50% ",NA,NA,"50% ",NA,NA
"241","Thula",NA,"50% ",NA,"50% ",NA,NA,NA
"242","Tuban","33% ",NA,NA,NA,"33% ",NA,"33% "
"243","Usaylan",NA,"25% ",NA,"50% ",NA,NA,"25% "
"244","Utmah",NA,NA,NA,"33% ",NA,"33% ","33% "
"245","Wadi Al Ayn",NA,NA,NA,NA,"100% ",NA,NA
"246","Washhah",NA,NA,NA,NA,NA,NA,"100% "
"247","Wusab Al Ali",NA,NA,"50% ",NA,NA,"50% ",NA
"248","Yabuth",NA,NA,NA,NA,"100% ",NA,NA
"249","Yahr","50% ",NA,NA,NA,NA,"50% ",NA
"250","Zabid",NA,"100% ",NA,NA,NA,NA,NA
"251","Zamakh wa Manwakh","100% ",NA,NA,NA,NA,NA,NA
"252","Zingibar",NA,NA,NA,NA,NA,NA,"100% "
