"","Average","Subset"
"161","20.67 ","Rakhyah"
"162","19 ","Sah"
"163","19 ","Al Mukalla City"
"164","19 ","Al Qanawis"
"165","21 ","Raghwan"
"166","19 ","Al Milah"
"167","19 ","Maqbanah"
"168","21 ","Khur Maksar"
"169","20 ","Tarim"
"170","22 ","Harf Sufyan"
"171","18 ","As Sabrah"
"172","20.33 ","Nihm"
"173","19 ","Arma"
"174","22 ","Al Jabin"
"175","18 ","Man'ar"
"176","23 ","Al Hashwah"
"177","22.67 ","Al Abdiyah"
"178","18 ","Merkhah Al Ulya"
"179","19.4 ","Az Zahir (YE1405)"
"180","20 ","Mahliyah"
"181","20.67 ","Sibah"
"182","19.5 ","Jayshan"
"183","19 ","Ad Dis"
"184","20.5 ","Al Jafariyah"
"185","20.33 ","Hubaysh"
"186","19.5 ","Qishn"
"187","21 ","Al Maslub"
"188","19.67 ","Jihanah"
"189","17.75 ","Dawran Aness"
"190","18 ","Al Abr"
"191","20.5 ","Al Musaymir"
"192","18.5 ","Khanfir"
"193","18 ","Al Dhihar"
"194","22 ","Habur Zulaymah"
"195","18 ","Al Mahwait"
"196","22 ","Yabuth"
"197","20 ","Bayhan"
"198","18 ","Al Maton"
"199","19 ","Ar Raydah Wa Qusayar"
"200","20 ","Kitaf wa Al Boqe'e"
"201","17 ","Zamakh wa Manwakh"
"202","20 ","Attawahi"
"203","20 ","Al Matammah"
"204","21.5 ","Mukayras"
"205","21.5 ","At Tawilah"
"206","21.5 ","Amran"
"207","16 ","Assafi'yah"
"208","21 ","Bajil"
"209","18 ","Al Masilah"
"210","16 ","Merkhah As Sufla"
"211","22 ","Mabyan"
"212","18 ","Al Mawasit"
"213","19 ","Al Qaflah"
"214","17 ","Ash Shamayatayn"
"215","22 ","Hawf"
"216","24 ","Shibam"
"217","23 ","Craiter"
"218","19.5 ","Harib Al Qaramish"
"219","21 ","Bani Hushaysh"
"220","20 ","Ash Sha'ir"
"221","20 ","At Tahrir"
"222","25 ","Shaharah"
"223","24 ","Arhab"
"224","20.5 ","Sirwah"
"225","18 ","Mudiyah"
"226","24 ","Shara'b As Salam"
"227","21 ","Ash Shu'ayb"
"228","20 ","Jabal Ash sharq"
"229","18 ","Ar Ryashyyah"
"230","19 ","Jahaf"
"231","18 ","Khwlan"
"232","21 ","Medghal"
"233","19 ","Dhar"
"234","20 ","Al Humaydat"
"235","22 ","Al Mansura"
"236","22 ","Anss"
"237","23 ","Na'man"
"238","22 ","Thula"
"239","20 ","Mayfa'at Anss"
"240","21 ","Dhi Bin"
"241","20 ","Ar Rawdah"
"242","18 ","Bani Dhabyan"
"243","21 ","Hajjah City"
"244","20 ","Kuhlan Ash Sharaf"
"245","20 ","Sanhan"
"246","19 ","Bilad Ar Rus"
"247","19 ","Haydan"
"248","20 ","Ash Shahil"
"249","18 ","Habban"
"250","22 ","Washhah"
"251","22 ","Al Haymah Al Kharijiyah"
"252","22 ","Aflah Al Yaman"
