"","Subset","Host community","I don't know","IDPs","Migrants","Mixed (host community/IDPs/migrants/refugees)","Refugees"
"38","Al Makhadir",NA,NA,NA,"50% ","50% ",NA
"39","Al Malagim",NA,NA,NA,"100% ",NA,NA
"40","Al Manar",NA,"100% ",NA,NA,NA,NA
"41","Al Mansura",NA,NA,NA,NA,"100% ",NA
"42","Al Mansuriyah",NA,NA,"40% ","40% ",NA,"20% "
"43","Al Marawi'ah","33% ",NA,NA,"33% ","33% ",NA
"44","Al Masilah",NA,NA,"50% ",NA,"50% ",NA
"45","Al Maslub",NA,NA,NA,"100% ",NA,NA
"46","Al Matammah",NA,NA,NA,"100% ",NA,NA
"47","Al Maton",NA,NA,NA,"50% ",NA,"50% "
"48","Al Mawasit",NA,NA,"100% ",NA,NA,NA
"49","Al Miftah",NA,NA,"100% ",NA,NA,NA
"50","Al Milah",NA,NA,NA,NA,NA,"100% "
"51","Al Mina","100% ",NA,NA,NA,NA,NA
"52","Al Misrakh",NA,NA,"100% ",NA,NA,NA
"53","Al Mualla",NA,NA,NA,"100% ",NA,NA
"54","Al Mukalla","50% ","50% ",NA,NA,NA,NA
"55","Al Mukalla City",NA,NA,NA,NA,"100% ",NA
"56","Al Mukha","50% ",NA,NA,"50% ",NA,NA
"57","Al Munirah",NA,NA,NA,NA,NA,"100% "
"58","Al Musaymir","100% ",NA,NA,NA,NA,NA
"59","Al Qaf",NA,NA,"33% ",NA,"33% ","33% "
"60","Al Qaflah",NA,NA,"100% ",NA,NA,NA
"61","Al Qahirah",NA,NA,NA,"100% ",NA,NA
"62","Al Qanawis",NA,"50% ",NA,"50% ",NA,NA
"63","Al Qatn","50% ",NA,NA,"50% ",NA,NA
"64","Al Talh",NA,NA,"100% ",NA,NA,NA
"65","Al Udayn","33% ","33% ",NA,NA,"33% ",NA
"66","Al Wazi'iyah","50% ",NA,NA,NA,NA,"50% "
"67","Alluheyah","50% ","50% ",NA,NA,NA,NA
"68","Amran",NA,NA,NA,NA,"100% ",NA
"69","Anss","100% ",NA,NA,NA,NA,NA
"70","Ar Rawdah",NA,NA,"100% ",NA,NA,NA
"71","Ar Raydah Wa Qusayar",NA,NA,NA,"100% ",NA,NA
"72","Ar Ryashyyah",NA,NA,NA,"100% ",NA,NA
"73","Arhab",NA,NA,NA,NA,"100% ",NA
"74","Arma",NA,NA,NA,NA,NA,"100% "
"75","As Sabain",NA,NA,"100% ",NA,NA,NA
"76","As Sabrah",NA,NA,NA,"100% ",NA,NA
"77","As Saddah",NA,"50% ","50% ",NA,NA,NA
"78","As Safra",NA,NA,"100% ",NA,NA,NA
"79","As Said",NA,NA,"50% ",NA,NA,"50% "
"80","As Salafiyah",NA,NA,"100% ",NA,NA,NA
"81","As Sawadiyah","50% ",NA,"50% ",NA,NA,NA
"82","As Sawm",NA,"100% ",NA,NA,NA,NA
"83","As Sawma'ah",NA,NA,"100% ",NA,NA,NA
"84","As Silw",NA,NA,NA,"50% ",NA,"50% "
"85","As Sudah",NA,NA,NA,NA,"100% ",NA
"86","Ash Sha'ir",NA,NA,NA,"67% ",NA,"33% "
"87","Ash Shaghadirah","40% ",NA,"20% ",NA,"20% ","20% "
"88","Ash Shahil","100% ",NA,NA,NA,NA,NA
"89","Ash Shamayatayn",NA,NA,NA,"100% ",NA,NA
"90","Ash Shihr","100% ",NA,NA,NA,NA,NA
"91","Ash Shu'ayb",NA,NA,"100% ",NA,NA,NA
"92","Assafi'yah",NA,"100% ",NA,NA,NA,NA
"93","At Ta'iziyah",NA,"100% ",NA,NA,NA,NA
"94","At Taffah",NA,NA,"50% ",NA,NA,"50% "
"95","At Tahrir",NA,NA,NA,"50% ","50% ",NA
"96","At Tawilah","50% ","50% ",NA,NA,NA,NA
"97","Ath'thaorah",NA,NA,NA,"100% ",NA,NA
"98","Attawahi",NA,NA,NA,NA,"100% ",NA
"99","Attyal",NA,NA,NA,NA,"100% ",NA
"100","Az'zal","25% ","25% ",NA,NA,NA,"50% "
"101","Az Zahir (YE1405)","20% ","20% ","20% ",NA,NA,"40% "
"102","Ba'dan",NA,NA,"100% ",NA,NA,NA
"103","Bajil",NA,NA,NA,NA,NA,"100% "
"104","Bakil Al Mir",NA,"100% ",NA,NA,NA,NA
"105","Bani Al Awam","100% ",NA,NA,NA,NA,NA
"106","Bani Dhabyan",NA,NA,"100% ",NA,NA,NA
"107","Bani Hushaysh",NA,"100% ",NA,NA,NA,NA
"108","Bani Matar",NA,NA,NA,"100% ",NA,NA
"109","Bani Suraim",NA,NA,NA,NA,"100% ",NA
"110","Baqim",NA,"50% ",NA,"50% ",NA,NA
"111","Bayhan",NA,NA,NA,NA,NA,"100% "
"112","Bidbadah",NA,NA,NA,"33% ",NA,"67% "
"113","Bilad Ar Rus",NA,"100% ",NA,NA,NA,NA
"114","Bilad At Ta'am",NA,"50% ","50% ",NA,NA,NA
"115","Brom Mayfa",NA,"50% ",NA,NA,NA,"50% "
"116","Bura",NA,NA,NA,NA,"67% ","33% "
"117","Craiter",NA,NA,NA,NA,NA,"100% "
"118","Dar Sad","100% ",NA,NA,NA,NA,NA
"119","Daw'an",NA,NA,"100% ",NA,NA,NA
"120","Dawran Aness","25% ",NA,NA,"25% ","25% ","25% "
"121","Dhamar City",NA,NA,"50% ",NA,"50% ",NA
"122","Dhar",NA,NA,NA,NA,"100% ",NA
"123","Dhi Bin",NA,NA,NA,NA,"100% ",NA
"124","Dhi Na'im",NA,NA,NA,"67% ",NA,"33% "
"125","Dhubab",NA,NA,NA,"100% ",NA,NA
"126","Dimnat Khadir",NA,"100% ",NA,NA,NA,NA
"127","Far Al Udayn","100% ",NA,NA,NA,NA,NA
"128","Ghamr","25% ","25% ",NA,"25% ",NA,"25% "
"129","Ghayl Ba Wazir",NA,"33% ",NA,"33% ","33% ",NA
"130","Ghayl Bin Yamin",NA,"50% ","50% ",NA,NA,NA
"131","Habban",NA,NA,"100% ",NA,NA,NA
"132","Habil Jabr","20% ",NA,NA,"20% ",NA,"60% "
"133","Habur Zulaymah","50% ",NA,NA,NA,"50% ",NA
"134","Hagr As Sai'ar",NA,NA,"50% ",NA,"50% ",NA
"135","Hajjah","50% ",NA,NA,NA,NA,"50% "
"136","Hajjah City",NA,NA,NA,"100% ",NA,NA
"137","Hajr","33% ",NA,NA,"33% ",NA,"33% "
"138","Halimayn",NA,NA,NA,"100% ",NA,NA
"139","Harf Sufyan",NA,NA,"100% ",NA,NA,NA
"140","Harib",NA,"100% ",NA,NA,NA,NA
"141","Harib Al Qaramish",NA,"50% ","50% ",NA,NA,NA
"142","Hatib",NA,"100% ",NA,NA,NA,NA
"143","Hawf",NA,NA,NA,"100% ",NA,NA
"144","Haydan",NA,NA,NA,NA,"100% ",NA
"145","Hayran","33% ",NA,NA,"33% ",NA,"33% "
"146","Hazm Al Udayn","33% ",NA,"33% ",NA,NA,"33% "
"147","Hubaysh","33% ",NA,"33% ",NA,NA,"33% "
"148","Hufash",NA,NA,NA,NA,"50% ","50% "
"149","Huraidhah","17% ","17% ","33% ","17% ",NA,"17% "
"150","Huswain",NA,NA,NA,NA,NA,"100% "
"151","Huth","67% ",NA,NA,NA,NA,"33% "
"152","Ibb",NA,NA,NA,NA,NA,"100% "
"153","Jabal Ash sharq",NA,"100% ",NA,NA,NA,NA
"154","Jabal Habashy",NA,NA,NA,"67% ","33% ",NA
"155","Jabal Ra's",NA,"50% ",NA,"50% ",NA,NA
"156","Jahaf",NA,"100% ",NA,NA,NA,NA
"157","Jahran",NA,NA,"50% ",NA,NA,"50% "
"158","Jardan","50% ","50% ",NA,NA,NA,NA
"159","Jayshan",NA,NA,"50% ",NA,NA,"50% "
"160","Jihanah","33% ",NA,"33% ",NA,"33% ",NA
"161","Juban","50% ","50% ",NA,NA,NA,NA
"162","Kamaran",NA,NA,"33% ",NA,"33% ","33% "
"163","Khamir",NA,NA,NA,NA,"50% ","50% "
"164","Khanfir",NA,NA,NA,NA,"50% ","50% "
"165","Kharab Al Marashi","50% ",NA,NA,"50% ",NA,NA
"166","Kharif",NA,NA,NA,"100% ",NA,NA
"167","Khayran Al Muharraq","100% ",NA,NA,NA,NA,NA
"168","Khur Maksar",NA,NA,NA,NA,"100% ",NA
"169","Khwlan",NA,NA,NA,NA,NA,"100% "
"170","Kitaf wa Al Boqe'e",NA,NA,NA,"100% ",NA,NA
"171","Kuhlan Affar",NA,NA,NA,NA,"100% ",NA
"172","Kuhlan Ash Sharaf",NA,NA,NA,NA,"100% ",NA
"173","Lawdar","33% ",NA,"33% ",NA,NA,"33% "
"174","Ma'ain",NA,NA,"33% ",NA,NA,"67% "
"175","Mabyan","100% ",NA,NA,NA,NA,NA
"176","Mahliyah",NA,NA,"100% ",NA,NA,NA
"177","Majz","67% ","33% ",NA,NA,NA,NA
"178","Majzar",NA,"25% ",NA,"25% ","25% ","25% "
"179","Man'ar","100% ",NA,NA,NA,NA,NA
"180","Manakhah","100% ",NA,NA,NA,NA,NA
"181","Maqbanah","50% ","50% ",NA,NA,NA,NA
"182","Marib",NA,NA,NA,NA,NA,"100% "
"183","Marib City",NA,NA,NA,NA,"100% ",NA
"184","Mashra'a Wa Hadnan","50% ",NA,NA,"50% ",NA,NA
"185","Maswarah","50% ",NA,"50% ",NA,NA,NA
"186","Mawiyah",NA,"33% ","33% ","33% ",NA,NA
"187","Mawza",NA,NA,NA,NA,"100% ",NA
"188","Mayfa'a",NA,"50% ",NA,NA,NA,"50% "
"189","Mayfa'at Anss",NA,NA,NA,"100% ",NA,NA
"190","Mazhar","67% ","33% ",NA,NA,NA,NA
"191","Medghal","50% ",NA,NA,NA,NA,"50% "
"192","Merkhah Al Ulya","50% ",NA,NA,"50% ",NA,NA
"193","Merkhah As Sufla",NA,NA,"100% ",NA,NA,NA
"194","Monabbih",NA,"100% ",NA,NA,NA,NA
"195","Mudhaykhirah",NA,NA,NA,"100% ",NA,NA
"196","Mudiyah","100% ",NA,NA,NA,NA,NA
"197","Mukayras",NA,NA,"50% ",NA,NA,"50% "
"198","Mustaba","50% ","50% ",NA,NA,NA,NA
"199","Na'man",NA,NA,NA,"100% ",NA,NA
"200","Najrah",NA,NA,NA,NA,"100% ",NA
"201","Nati'",NA,NA,NA,"33% ","33% ","33% "
"202","Nihm",NA,NA,"33% ","33% ",NA,"33% "
"203","Nisab","33% ",NA,"33% ",NA,NA,"33% "
"204","Old City",NA,"33% ",NA,"33% ",NA,"33% "
"205","Qa'atabah",NA,NA,NA,NA,"67% ","33% "
"206","Qafl Shamer",NA,NA,"50% ",NA,NA,"50% "
"207","Qarah",NA,NA,NA,"100% ",NA,NA
"208","Qishn",NA,NA,NA,"50% ",NA,"50% "
"209","Rada'","33% ",NA,NA,NA,"33% ","33% "
"210","Radfan",NA,NA,NA,NA,"100% ",NA
"211","Radman Al Awad","33% ",NA,NA,NA,"33% ","33% "
"212","Raghwan",NA,NA,NA,NA,"100% ",NA
"213","Rakhyah",NA,NA,"33% ","67% ",NA,NA
"214","Rasad",NA,NA,NA,NA,NA,"100% "
"215","Raydah","50% ",NA,"50% ",NA,NA,NA
"216","Razih",NA,NA,"100% ",NA,NA,NA
"217","Rumah",NA,NA,"50% ",NA,"50% ",NA
"218","Sa'adah",NA,NA,"100% ",NA,NA,NA
"219","Sa'fan",NA,NA,NA,"50% ",NA,"50% "
"220","Sabah",NA,"50% ","50% ",NA,NA,NA
"221","Sabir Al Mawadim",NA,"50% ","50% ",NA,NA,NA
"222","Sah",NA,"100% ",NA,NA,NA,NA
"223","Sahar",NA,"100% ",NA,NA,NA,NA
"224","Salh",NA,NA,"50% ",NA,NA,"50% "
"225","Sama","100% ",NA,NA,NA,NA,NA
"226","Sanhan",NA,"100% ",NA,NA,NA,NA
"227","Saqayn",NA,"100% ",NA,NA,NA,NA
"228","Sayun",NA,NA,NA,NA,NA,"100% "
"229","Shada'a",NA,"100% ",NA,NA,NA,NA
"230","Shahan",NA,NA,"100% ",NA,NA,NA
"231","Shaharah",NA,NA,NA,NA,"100% ",NA
"232","Shara'b Ar Rawnah",NA,"33% ",NA,NA,"33% ","33% "
"233","Shara'b As Salam","100% ",NA,NA,NA,NA,NA
"234","Sharas",NA,"20% ","40% ","20% ","20% ",NA
"235","Shibam","100% ",NA,NA,NA,NA,NA
"236","Shibam Kawkaban",NA,NA,NA,NA,"100% ",NA
"237","Shu'aub",NA,"50% ",NA,NA,NA,"50% "
"238","Sibah",NA,NA,"100% ",NA,NA,NA
"239","Sirwah","50% ",NA,"50% ",NA,NA,NA
"240","Tarim",NA,"50% ","50% ",NA,NA,NA
"241","Thula",NA,NA,NA,NA,"50% ","50% "
"242","Tuban",NA,NA,"67% ",NA,NA,"33% "
"243","Usaylan","25% ","50% ",NA,"25% ",NA,NA
"244","Utmah","33% ",NA,"33% ",NA,"33% ",NA
"245","Wadi Al Ayn",NA,NA,NA,"100% ",NA,NA
"246","Washhah",NA,"100% ",NA,NA,NA,NA
"247","Wusab Al Ali",NA,NA,NA,"50% ",NA,"50% "
"248","Yabuth",NA,NA,"100% ",NA,NA,NA
"249","Yahr",NA,"50% ",NA,NA,NA,"50% "
"250","Zabid",NA,NA,NA,NA,"100% ",NA
"251","Zamakh wa Manwakh",NA,NA,NA,NA,"100% ",NA
"252","Zingibar",NA,NA,NA,NA,NA,"100% "
