list_name,name,label::english,label::arabic,governorate,district,subdistrict
latrineaccess,12,"Some groups (children, women, elderly, ethnic minorities, etc.) do not have access to sanitation  facilities (latrines/toilets) ","??? ????????? (?????? ????? ???? ????? ???????? ???????? ???) ?? ?????? ?????? ?????? ????? ????? (?????/ ????)",,,
latrineaccess,888,I don't know,?? ????,,,
latrineaccess,999,Refuse to answer (DO NOT READ),??? ??????? (?? ????),,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
accessgroup,1,Women/girls,????\?????,,,
accessgroup,2,Men/boys,????\?????,,,
accessgroup,3,People with disabilities,??? ???????,,,
accessgroup,4,Elderly people,???? ????,,,
accessgroup,5,Marginalized people (minorities),????????,,,
accessgroup,777,Other (please specify):,???? (???? ???????),,,
accessgroup,888,I don't know,?? ????,,,
accessgroup,999,Refuse to answer (DO NOT READ),??? ??????? (?? ????),,,
,,,,,,
,,,,,,
,,,,,,
treatmethod,1,Let it stand and settle,????? ????? ,,,
treatmethod,2,Boil it,?????,,,
treatmethod,3,Expose it to sunlight,??????? ????? ,,,
treatmethod,4,Chlorine (tablets/powder/liquid),??????? ????? ?????? ?? ?????? ?? ??????? ???  ,,,
treatmethod,5,Household filter,??????? ???? ?? ????? ??????/ ,,,
treatmethod,777,Other (please specify):,???? (???? ???????):,,,
treatmethod,888,I don't know,?? ????,,,
treatmethod,999,Refuse to answer (DO NOT READ),??? ??????? (?? ????),,,
,,,,,,
,,,,,,
watercoping,1,"Rely on less preferred (unimproved/untreated) water sources for drinking water
","???????? ??? ????? ?????? ????? ??????? (??? ??????? / ??? ????????) ????? ?????

",,,
watercoping,2,Rely on surface water for drinking water,???????? ??? ?????? ??????? ??????? ?????,,,
watercoping,3,"Rely on less preferred (unimproved/untreated) water sources for other purposes such as cooking and washing
","???????? ??? ????? ?????? ????? ??????? (??? ??????? / ??? ????????) ?????? ??? ?????? ??????

",,,
watercoping,4,"Rely on surface water for other purposes such as cooking and washing
",???????? ??? ????? ???? ?????? ??? ????? ???????,,,
watercoping,5,"Fetch water at a source further than the usual one
",????? ?????? ?? ???? ???? ?? ???????,,,
watercoping,6,Send children to fetch water,????? ??????? ???? ??????,,,
watercoping,7,"Fetch water at a source that could be dangerous
",????? ?????? ?? ???? ????? ?????,,,
watercoping,8,"Spend money (or credit) on water that should otherwise be used for other purposes
",??? ?????? ?? ?????? ?????? ?????? ???? ??? ?????? ,,,
watercoping,9,Reduce drinking water consumption (drink less),????? ??????? ???? ????? (??? ????? ???),,,
watercoping,10,"Reduce water consumption for other purposes (bathe less, etc.)",????? ??????? ?????? ??????? ?????? (????????? ?? ?????? ???..???),,,
watercoping,777,Other (please specify):,???? (???? ???????):,,,
watercoping,888,I don't know,?? ????,,,
watercoping,999,Refuse to answer (DO NOT READ),??? ??????? (?? ????),,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
whynot_treat,1,There is no need as they feel water they collect is clean and does not need to be treated,?? ???? ??????? ?????? ????? ?????? ?? ?????? ???? ???????? ????? ??? ????? ??? ??????,,,
whynot_treat,2,They don't have materials for water purification/treatment,??? ????? ???? ??????/ ?????? ?????? ,,,
whynot_treat,3,Treating water takes too much time,?????? ?????? ???? ?????? ?? ?????,,,
whynot_treat,4,Treating water costs too much money,?????? ?????? ???? ?????? ?? ?????,,,
whynot_treat,5,They don't know any treatment methods,?? ?????? ?? ????? ??????? ??????,,,
whynot_treat,777,Other (please specify):,???? (???? ???????),,,
whynot_treat,888,I don't know,?? ????,,,
whynot_treat,999,Refuse to answer (DO NOT READ),??? ??????? (?? ????),,,
,,,,,,
phonepaper,1,Mobile phone,???? ?????,,,
phonepaper,2,Paper form,????? ????,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
governorate,YE12,Abyan,????,,,
governorate,YE24,Aden,???,,,
governorate,YE14,Al Bayda,???????,,,
governorate,YE30,Al Dhale'e,??????,,,
governorate,YE18,Al Hudaydah,???????,,,
governorate,YE16,Al Jawf,?????,,,
governorate,YE28,Al Maharah,??????,,,
governorate,YE27,Al Mahwit,???????,,,
governorate,YE29,Amran,?????,,,
governorate,YE20,Dhamar,????,,,
governorate,YE19,Hadramaut,??????,,,
governorate,YE17,Hajjah,???,,,
governorate,YE11,Ibb,??,,,
governorate,YE25,Lahj,???,,,
governorate,YE26,Marib,????,,,
governorate,YE31,Raymah,????,,,
governorate,YE22,Sa'ada,????,,,
governorate,YE23,Sana'a,?????,,,
governorate,YE21,Shabwah,????,,,
governorate,YE32,Socotra,?????,,,
governorate,YE15,Taizz,???,,,
governorate,YE13,Amanat Al Asimah,????? ???????,,,
,,,,,,
,,,,,,
,,,,,,
