research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
What are measures undertaken at household level to treat/make drinking water safe? ,What are the measures undertaken at household level  to treat/make drinking water safe? ,g_district,w_treatrank_filter,categorical,,,direct_reporting
What are measures undertaken at household level to treat/make drinking water safe? ,What are the measures undertaken at household level  to treat/make drinking water safe? ,g_district,w_treatrank_other,categorical,,,direct_reporting
What are measures undertaken at household level to treat/make drinking water safe? ,Is there a gender-related protection risk related to household water treatment?,g_district,w_treatwater_who,categorical,,,direct_reporting
What are measures undertaken at household level to treat/make drinking water safe? ,What are reasons for people for not treating their drinking water?,g_district,w_whynot_treat,categorical,,,direct_reporting
What percentage of KIs reports that communities have access to functioning handwashing facilities (and soap),What percentage of KIs reports that the communities have access to functioning handwashing facilities?,g_district,h_handwashing,categorical,,,direct_reporting
What percentage of KIs reports that communities have access to functioning handwashing facilities (and soap),What proportion of communities has soap?,g_district,h_have_soap,categorical,,,direct_reporting
What percentage of KIs reports that communities have access to functioning handwashing facilities (and soap),What proportion of communities has problems related to  accessing soap?,g_district,h_soapaccess,categorical,,,direct_reporting
What percentage of KIs reports that communities have access to functioning handwashing facilities (and soap),What are the problems experienced by communities related to accessing soap? ,g_district,h_soap_problem,categorical,,,direct_reporting
What percentage of KIs reports that communities have access to basic hygiene NFIs?,What percentage of KIs reports that the communities have problems related to hygiene NFI access?,g_district,h_barsoap,categorical,,,direct_reporting
What percentage of KIs reports that communities have access to basic hygiene NFIs?,What percentage of KIs reports that the communities have problems related to hygiene NFI access?,g_district,h_jerrycan,categorical,,,direct_reporting
What percentage of KIs reports that communities have access to basic hygiene NFIs?,What percentage of KIs reports that the communities have problems related to hygiene NFI access?,g_district,h_sanitarypad,categorical,,,direct_reporting
What percentage of KIs reports that communities have access to basic hygiene NFIs?,What percentage of KIs reports that the communities have problems related to hygiene NFI access?,g_district,h_daipers,categorical,,,direct_reporting
What percentage of KIs reports that communities have access to basic hygiene NFIs?,What percentage of KIs reports that the communities have problems related to hygiene NFI access?,g_district,h_washingpowder,categorical,,,direct_reporting
What percentage of KIs reports that communities have access to basic hygiene NFIs?,What percentage of KIs reports that the communities have problems related to hygiene NFI access?,g_district,h_washingbasin,categorical,,,direct_reporting
What percentage of KIs reports that communities have access to basic hygiene NFIs?,What percentage of KIs reports that the communities have problems related to hygiene NFI access?,g_district,h_toothpaste,categorical,,,direct_reporting
What percentage of KIs reports that communities have access to basic hygiene NFIs?,What percentage of KIs reports that the communities have problems related to hygiene NFI access?,g_district,h_toothbrush,categorical,,,direct_reporting
What percentage of KIs reports that communities have access to basic hygiene NFIs?,What percentage of KIs reports that the communities have problems related to hygiene NFI access?,g_district,h_chlorine,categorical,,,direct_reporting
What percentage of KIs reports that communities have access to basic hygiene NFIs?,What percentage of KIs reports that the communities have problems related to hygiene NFI access?,g_district,h_hygieneitem,categorical,,,direct_reporting
What percentage of KIs reports that communities have access to basic hygiene NFIs?,What percentage of KIs reports that the communities have problems related to hygiene NFI access?,g_district,h_hygieneitem_access,categorical,,,direct_reporting
How is the access to health facilities for community members?,Is there a health facility near the community?,g_district,h_healthfacility,categorical,,,direct_reporting
How is the access to health facilities for community members?,Is there a health facility near the community?,g_district,h_distancehealth,categorical,,,direct_reporting
How is the access to health facilities for community members?,What barriers to community members experience when accessing the health facility?,g_district,h_barrieryesno,categorical,,,direct_reporting
How is the access to health facilities for community members?,What barriers to community members experience when accessing the health facility?,g_district,h_healthbarrier,categorical,,,direct_reporting
What proportion of communities has access to functioning latrines?,Are latrines being used? ,g_district,s_latrineaccess,categorical,,,direct_reporting
What proportion of communities has access to functioning latrines?,What types of latrines are being used?,g_district,s_latrinetype,categorical,,,direct_reporting
What proportion of communities has access to functioning latrines?,"Is there evidence of overflowing latrines, septic tanks, broken sewage pipes?",g_district,s_latrineissues,categorical,,,direct_reporting
What proportion of communities has access to functioning latrines?,Is there a gender-related protection risk related to accessing latrines?,g_district,s_accessgroupyesno,categorical,,,direct_reporting
What proportion of communities has access to functioning latrines?,Is there a gender-related protection risk related to accessing latrines?,g_district,s_accessgroup,categorical,,,direct_reporting
What proportion of communities has access to functioning latrines?,What percentage of KIs reports that communities face environmental sanitation problems?,g_district,s_visibletrash,categorical,,,direct_reporting
What proportion of communities has access to functioning latrines?,What percentage of KIs reports that communities face environmental sanitation problems?,g_district,s_disposetrash,categorical,,,direct_reporting
What proportion of communities has access to functioning latrines?,What percentage of KIs reports that communities face environmental sanitation problems?,g_district,s_trashcollected,categorical,,,direct_reporting
What proportion of communities has access to functioning latrines?,What percentage of KIs reports that communities face environmental sanitation problems?,g_district,s_humanfaeces,categorical,,,direct_reporting
What proportion of communities has access to functioning latrines?,What percentage of KIs reports that communities face environmental sanitation problems?,g_district,s_stagnantwater,categorical,,,direct_reporting
