type,name,label::english,label::arabic,hint::english,hint::arabic,appearance,required,calculation,constraint,constraint_message::english,constraint_message::arabic,relevant,default,repeat_count,choice_filter,
select_multiple aidtype,g_org_aid,G13.5 What type of aid did this organization provide in this community during the past 2 months?,G13.5.?? ??? ????????? ???? ?????? ??? ??????? ??????? ???? ??????? ?????????,"If this is not known, please write that it is not known.",??? ??? ??? ??? ????? ?????? ????? ??? ??? ?????.,,yes,,"not((selected(.,'888') or selected(.,'999')) and count-selected(.)>1)",,,,,,,
end_repeat,g_orgaidloop,,,,,,,,,,,,,,,
begin group,W1_Water,1. Water,1.?????? ,,,,,,,,,,,,,
select_one watersource,w_mainsource,W1. What is the main source of water used by people in the community for drinking?,W1. ?? ?? ???? ?????? ??????? ???????? ????? ?? ??? ??????? ?? ????????,Select one,???? ?????,,yes,,,,,,,,,
select_one yesno,w_secondsourceyesno,"W2. Aside from this main source, do people in the community use other sources of water for drinking? ","W2. ???? ????? ?? ?????? ???????? ?? ?????? ????? ?? ??????? ????? ???? ?????? ??????",,,,yes,,,,,,,,,
select_one watersource,w_secondsource,"W2.1 If yes, which source?",W2.1. ??? ???? ??????? ??? ?? ?? ??? ????????,,,,yes,,,,,"selected(${w_secondsourceyesno},'1')",,,,
select_one watersource,w_drinksource,"W3. What is the main source of water used by people in the community for other purposes such as cooking, bathing and washing?",W3. ?? ?? ???? ?????? ??????? ???????? ?? ??? ???????? ?? ??????? ?????? ???? ?????? ?????????? ????????,select one,???? ?????,,yes,,,,,,,,,
select_one yesno,w_waterappear,"W4. Did community members have any issues relating to taste, appearance, or smell of your main water source in the last 30 days? ",W4.?? ???? ???? ????? ??? ????? ??????? ????? ???? ?? ??? ?? ????? ???? ?????? ??????? ???? ???????? ??? ???????? ,select one,???? ?????,,yes,,,,,,,,,
select_multiple smellwater,w_watersmell,"W4.1 If yes, what are the issues?","W4.1. ??? ???? ?? ?? ????????",(Select all that apply),(???? ?? ?? ?????),,yes,,"not((selected(${w_watersmell},'888') or selected(${w_watersmell},'999')) and count-selected(.)>1)",,,"selected(${w_waterappear},'1')",,,,
select_one how_many,w_waterneeds,"W5. Do people in the community have enough water for drinking, cooking, bathing and washing? ",W5.?? ??? ??????? ?? ??????? ?? ???? ?? ?????? ????? ?????? ?????????? ??????? ? ,select one,???? ?????,,yes,,,,,,,,,
select_multiple watercoping,w_watercoping,W5.1 How do people in the community adapt to the lack of water?,W5.1. ??? ?????? ????? ?? ?????? ?? ??? ???????,(Select all that apply),(???? ?? ?? ?????),,yes,,"not((selected(${w_watercoping},'888') or selected(${w_watercoping},'999')) and count-selected(.)>1)",,,"selected(${w_waterneeds},'1') or selected(${w_waterneeds},'2') or selected(${w_waterneeds},'3') or selected(${w_waterneeds},'4')",,,,
text,w_watercoping_other,"W5.2 If other, please specify:","W5.2. ??? ????? ???? ???????",,,,,,,,,"selected(${w_watercoping},'777')",,,,
select_one yesno,w_wateraccess,W6. Do people in the community have problems related to access to water?,W6.?? ????? ??????? ?? ??????? ????? ?????? ??????? ??? ???????,,,,yes,,,,,,,,,
select_multiple wateraccess,w_accessproblem,"W6.1 If yes, which problems?","W6.1.??? ???? ?? ?? ????????",(Select all that apply),(???? ?? ?? ?????),,yes,,"not((selected(${w_accessproblem},'888') or selected(${w_accessproblem},'999')) and count-selected(.)>1)",,,"selected(${w_wateraccess},'1')",,,,
text,w_accessproblem_other,"W6.2 If other, please specify:","W6.2.??? ????? ???? ???????",,,,yes,,,,,"selected(${w_accessproblem},'777')",,,,
select_one who,w_fetchwater,W7. Who is usually responsible for fetching water in your community?,W7.?? ?? ??????? ???? ?? ??? ?????? ?? ???????,,,,yes,,,,,,,,,
select_one how_many,w_treatwater,W8. Do people in the community treat water  in any way to make it safer to drink?,W8.?? ??? ?????? ?????? ?? ??? ??????? ?? ??????? ??? ????? ?????? ???? ?????? ,select one,???? ?????,,yes,,,,,,,,,
select_multiple treatmethod,w_treatmethod,W8.1 What are the methods that people use for treating water to make it safer?,W8.1.?? ?? ???????? ???? ???????? ??????? ??????? ?????? ?????? ???? ??????,(Select all that apply),(???? ?? ?? ?????),,yes,,"not((selected(${w_treatmethod},'888') or selected(${w_treatmethod},'999')) and count-selected(.)>1)",,,"selected(${w_treatwater},'2') or selected(${w_treatwater},'3') or selected(${w_treatwater},'4') or selected(${w_treatwater},'5')",,,,
text,w_treatmethod_other,"W8.1 If other, please specify:","W8.1.??? ????? ???? ???????",,,,yes,,,,,"selected(${w_treatmethod},'777')",,,,
note,w_note,Please rank the water treatment methods that are being used in this community.,????? ??? ?????? ?????? ?????? ????????? ?? ??? ???????,,,,,,,,,"selected(${w_treatmethod},'1') or selected(${w_treatmethod},'2') or selected(${w_treatmethod},'3') or selected(${w_treatmethod},'4') or selected(${w_treatmethod},'5') or selected(${w_treatmethod},'777')",,,,
integer,w_treatrank_stand,W8.1 What is the rank of this method 'stand and settle'?,"W8.1.?? ?? ???? ??? ??????? ""????? ?????""?","1=most used; 2=second most used; 3=third most used, et cetera","1= ?????? ????????; 2=?????? ???? ???????? ,3=?????? ???? ???????? , ???",,yes,,.>0 and .<7,,,"selected(${w_treatmethod},'1')",,,,
integer,w_treatrank_boiling,W8.1 What is the rank of this method 'boiling'?,W8.1.?? ?? ???? ??? ??????? '?????'?,"1=most used; 2=second most used; 3=third most used, et cetera","1= ?????? ????????; 2=?????? ???? ???????? ,3=?????? ???? ???????? , ???",,yes,,.>0 and .<7,,,"selected(${w_treatmethod},'2')",,,,
integer,w_treatrank_sun,W8.1 What is the rank of this method 'sunlight'?,"W8.1.?? ?? ???? ??? ??????? ""??????? ?????""?","1=most used; 2=second most used; 3=third most used, et cetera","1= ?????? ????????; 2=?????? ???? ???????? ,3=?????? ???? ???????? , ???",,yes,,.>0 and .<7,,,"selected(${w_treatmethod},'3')",,,,
integer,w_treatrank_chlorine,W8.1 What is the rank of this method 'chlorine'?,W8.1.?? ?? ???? ??? ??????? '??????'?,"1=most used; 2=second most used; 3=third most used, et cetera","1= ?????? ????????; 2=?????? ???? ???????? ,3=?????? ???? ???????? , ???",,yes,,.>0 and .<7,,,"selected(${w_treatmethod},'4')",,,,
integer,w_treatrank_filter,W8.1 What is the rank of this method 'filter'?,W8.1.?? ?? ???? ??? ??????? '???????'?,"1=most used; 2=second most used; 3=third most used, et cetera","1= ?????? ????????; 2=?????? ???? ???????? ,3=?????? ???? ???????? , ???",,yes,,.>0 and .<7,,,"selected(${w_treatmethod},'5')",,,,
integer,w_treatrank_other,W8.1 What is the rank of this method ' ${w_treatmethod_other} '?,W8.1.?? ?? ???? ??? ??????? '????_????? ??????_??????)'?,"1=most used; 2=second most used; 3=third most used, et cetera","1= ?????? ????????; 2=?????? ???? ???????? ,3=?????? ???? ???????? , ???",,yes,,.>0 and .<7,,,"selected(${w_treatmethod},'777')",,,,
select_one whynot_treat,w_whynot_treat,W8.3 Why do people not treat their water?,W8.3.????? ?? ???? ??????? ??????? ?????? ?????? ???? ,select one,???? ?????,,yes,,,,,"selected(${w_treatwater},'1')",,,,
text,w_whynot_treat_other,"W8.3.1 If other, please specify","  W8.3.1. ??? ????? ???? ???????",,,,yes,,,,,"selected(${w_whynot_treat},'777')",,,,
end group,W1_Water,,,,,,,,,,,,,,,
begin group,H2_Hygiene,2. Hygiene,2.??????? ???????,,,,,,,,,,,,,
select_one how_many,h_handwashing,H1. Do people in the community have access to functioning hand-washing facilities?,H1.?? ?????? ????? ?? ?????? ?????? ??? ????? ??? ???????,,,,yes,,,,,,,,,
select_one how_many,h_have_soap,H2. Do people in the community have enough soap?,H2.?? ????? ????? ?? ?????? ?????  ?????? ?? ???????,"Soap includes soap bar; liquid soap; powder detergent; and soapy water, as well as ash and other handwashing agents. (Select one)","????? ???????: ??? ??????? ?????? ???? ?????? ?????? ?????? ??????? ???????? ???????? ??? ?????? ????? ???? ?????? ??????
(???? ?????)",,yes,,,,,,,,,
select_one yesno,h_soapaccess,H3. Do people in the community have problems related to accessing soap?,H3.?? ????? ??????? ?? ??? ??????? ????? ????? ??????? ??? ????????,,,,yes,,,,,,,,,
select_one soapaccess,h_soap_problem,"H3.1 If yes, what problems do people experience related to accessing soap?","H3.1.??? ???? ?? ??????? ???? ????? ??????? ??? ????? ??????? ??? ???????? ",Select one,???? ?????,,yes,,,,,"selected(${h_soapaccess},'1')",,,,
text,h_soap_problem_other,"H3.2 If other, please specify:","H3.2.??? ????? ???? ???????",,,,yes,,,,,"selected(${h_soap_problem},'777')",,,,
select_one accessibility,h_barsoap,"H4.1 In the last 30 days, in your  community, was a bar of soap accessible or increased in price?","H4.1. ?? ??? ?????? ????? ? ?? ?????? ? ?? ???? ?????? ??? ??? ???????  ????? ?? ??? ??????",,,,yes,,,,,,,,,
select_one accessibility,h_jerrycan,"H4.2 In the last 30 days, in  your community, were jerry cans/buckets accessible or increased in price? ","H4.2.?? ????????? ?????? ?? ?????? ??? ??? ?????? ??? ???? ?????? ????? ?? ??? ??????",,,,yes,,,,,,,,,
select_one accessibility,h_sanitarypad,"H4.3 In the last 30 days, in your community, were sanitary pads accessible or increased in price?","H4.3.?? ??? ?????? ????? ? ?? ?????? ??? ??? ?????? ??? ????? ?????? ????? ?? ??? ??????",,,,yes,,,,,,,,,
select_one accessibility,h_daipers,"H4.4 In the last 30 days, in your community, were diapers accessible or increased in price?","H4.4.?? ??? ?????? ?????? ?? ?????? ??? ??? ?????? ??? ?????? ??????? ????? ?? ??? ??????",,,,yes,,,,,,,,,
select_one accessibility,h_washingpowder,"H4.5 In the last 30 days, in your community, was washing powder accessible or increased in price?","H4.5.?? ??? ?????? ????? ? ?? ?????? ??? ??? ?????? ??? ????? ?????? ????? ?? ??? ??????",,,,yes,,,,,,,,,
select_one accessibility,h_washingbasin,"H4.6 In the last 30 days, in your community, were washing basins accessible or increased in price?","H4.6.?? ??? ?????? ????? ? ?? ?????? ??? ??? ?????? ??? ????? ?????? ????? ?? ??? ??????",,,,yes,,,,,,,,,
select_one accessibility,h_toothpaste,"H4.7 In the last 30 days, in your community, was toothpaste accessible or increased in price?","H4.7.?? ??? ?????? ????? ? ?? ?????? ??? ??? ?????? ??? ????? ??????? ????? ?? ??? ??????",,,,yes,,,,,,,,,
select_one accessibility,h_toothbrush,"H4.8 In the last 30 days, in your community, were toothbrushes/miswak accessible or increased in price?","H4.8.?? ??? ?????? ????? ? ?? ?????? ??? ??? ?????? ??? ????? ??????? ?? ?????? ????? ?? ??? ??????",,,,yes,,,,,,,,,
select_one accessibility,h_chlorine,"H4.9 In the last 30 days, in your community, was chlorine (tablet/powder/liquid) accessible or increased in price?","H4.9.?? ??? ?????? ????? ? ?? ?????? ??? ??? ?????? ??? ?????? (?????, ????, ?????) ????? ?? ??? ??????",,,,yes,,,,,,,,,
select_one yesno,h_hygieneitem,"H4.10 In the last 30 days, in your community, was there any other hygiene item that was not accessible or increased in price?","H4.10.?? ??? ?????? ????? ? ?? ?????? ??? ??? ?????? ??? ?? ?? ???? ??????? ????? ?? ??? ??????",,,,yes,,,,,,,,,
text,h_hygieneitem_other,H4.11 What other item was not accessible or increased in price in the last 30 days?,H4.11.?? ?? ?????? ?????? ???? ??? ?? ????? ?????? ????? ?? ??? ????? ?? ??30 ???? ????????,,,,yes,,,,,"selected(${h_hygieneitem},'1')",,,,
select_one accessible,h_hygieneitem_access,"H4.12 In the last 30 days, in your community was ${h_hygieneitem_other} accessible or increased in price?","4.12 ?? ??? ?????? ????? ? ?? ?????? ? ?? ??? ?????? ??? ${h_hygieneitem_other} ???? ?? ??? ??????",,,,yes,,,,,"selected(${h_hygieneitem},'1')",,,,
select_one yesno,h_healthfacility,H6. Are there any health facilities in the location? ,H6?? ???? ?? ????? ???? ?? ???????,,,,yes,,,,,,,,,
select_one distancehealth,h_distancehealth,H6.1 How many minutes does it take for community members to reach a health facility (on average)?,H6.1 .?? ?? ????? ?? ??????? ?????? ????? ?? ?????? ???? ??????? ?????? ??? ??? ????????,,,,yes,,,,,"selected(${h_healthfacility},'1')",,,,
select_one yesno,h_barrieryesno,H6.1 Do any community members experience any barriers when accessing the health facility?,H6.1.?? ????? ?? ?? ????? ??????? ?? ????? ??? ?????? ??? ??????? ???????,,,,yes,,,,,"selected(${h_healthfacility},'1')",,,,
select_multiple healthbarrier,h_healthbarrier,H6.3 What are the most serious problems associated with health facilities?,H6.3.?? ?? ???????? ?????? ????? ???????? ?? ?????? ??? ??????? ???????,Select maximum 3 barriers,???? ????? ????? ??? ??????,,yes,,"(not((selected(${h_healthbarrier},'888') or selected(${h_healthbarrier},'999')) and count-selected(.)>1)) and (count-selected(.)<4)",,,"selected(${h_barrieryesno},'1')",,,,
end group,H2_Hygiene,,,,,,,,,,,,,,,
begin group,S3_Sanitation,3. Sanitation,3.????? ?????,,,,,,,,,,,,,
select_one how_many,s_latrineaccess,S1. How many households in the community have access to a functioning latrine?,S1.?? ??? ????? ?? ??? ??????? ????? ?????? ?????? ??? ??????/?????? ??????,,,,yes,,,,,,,,,
select_one latrinetype,s_latrinetype,S2. What is the most common type of sanitation facilities (latrines/toilets) used by people in the community?,S2.?? ?? ???? ????? ????? ????? ????? ?????? (???????? / ????????) ???? ???????? ??????? ?? ????????,Select one,???? ?????,,yes,,,,,,,,,
select_multiple latrineaccess,s_latrineissues,S3. What are the issues with the latrines?,S3.?? ?? ??????? ???????? ?????????? ,Select all that apply,???? ?? ?????? ,,yes,,"not((selected(.,'888') or selected(.,'999')) and count-selected(.)>1)",,,"not(selected(${s_latrineaccess},'5') or selected(${s_latrineaccess},'999'))",,,,
select_one yesno,s_accessgroupyesno,S4. Are there any specific groups that have no access to adequate latrines?,S4.?? ???? ?? ??????? ??? ????? ??????? ?????? ??? ?????? ??????,,,,yes,,,,,"not(selected(${s_latrineaccess},'5') or selected(${s_latrineaccess},'999'))",,,,
select_multiple accessgroup,s_accessgroup,S4. Which groups have no adequate access to latrines?,S4.?? ?? ????????? ???? ?? ???  ?????  ??? ?????????,Select all that apply,???? ?? ?????? ,,yes,,"not((selected(.,'888') or selected(.,'999')) and count-selected(.)>1)",,,"selected(${s_accessgroupyesno},'1')",,,,
text,s_accessgroup_other,"S4.1 If other, please specify:","S4.1.??? ????, ?????? ???????",,,,yes,,,,,"selected(${s_accessgroup},'777')",,,,
select_one how_many,s_visibletrash,S5. Do people in the community live in areas where solid waste/trash is frequently visible?,S5.?? ???? ????? ?? ??????? ?? ??????? ???? ???? ???? ???????? ?????? ????? ???? ??????,,,,yes,,,,,,,,,
select_one disposetrash,s_disposetrash,S6. What is the most common way people in the community dispose of solid waste/trash?,S6.?? ?? ????? ?????? ?????? ???? ???????? ????? ?? ?????? ?????? ?? ?????????,,,,yes,,,,,,,,,
text,s_disposetrash_other,"S6.1. If other, please specify:","S6.1.??? ????, ?????? ???????",,,,yes,,,,,"selected(${s_disposetrash},'777')",,,,
select_one trashcollect,s_trashcollected,"S6.1 How frequently is garbage collected in the community from communal pits, bins in the streets, or designated dumping areas?",S6.1.?? ??? ??? ??? ??????? ?? ??????? ?? ????? ???????? ?? ???????? ?? ??????? ?? ????? ???????? ????????,,,,yes,,,,,"not(selected(${s_disposetrash},'1') or selected(${s_disposetrash},'6') or selected(${s_disposetrash},'7') or selected(${s_disposetrash},'888') or selected(${s_disposetrash},'999'))",,,,
text,s_trashcollected_other,"S6.1.1 If other, please specify","S6.1.1??? ????, ?????? ???????",,,,yes,,,,,"selected(${s_trashcollected},'777')",,,,
select_one how_many,s_humanfaeces,S7. Do people in the community live in areas where traces of human faeces are frequently visible?,S7.?? ???? ????? ?? ??????? ?? ??????? ???? ???? ???? ???? ?????? ????? ???? ??????,,,,yes,,,,,,,,,
select_one how_many,s_stagnantwater,S8. Do people in the community live in areas where stagnant water is frequently visible?,S8.?? ???? ????? ?? ??????? ?? ??????? ???? ???? ???? ???? ?????? ??????? ???? ??????,,,,yes,,,,,,,,,
end group,S3_Sanitation,,,,,,,,,,,,,,,
note,x_Note,Thank you very much for your time and your answers,"???? ????? ??? ???? ????????
",,,,,,,,,,,,,
select one phonepaper,x_form,X1. Was this interview done using a mobile telephone or a paper-form?,X1.?? ?? ????? ??? ???????? ???????? ???? ????? ?? ????? ?????,This question is to be answered by the enumerator,"??? ??? ?????? ??????? ??? ??? ??????
",,yes,,,,,"selected(${g_consent},'1')",,,,
image,x_form_picture_1,Please take a picture of the first page of the form,????? ????? ???? ?????? ?????? ?? ?????????,,,,,,,,,"selected(${x_form},'2')",,,,
image,x_form_picture_2,Please take a picture of the second page of the form,????? ????? ???? ?????? ??????? ?? ?????????,,,,,,,,,"selected(${x_form},'2')",,,,
image,x_form_picture_3,Please take a picture of the third page of the form,????? ????? ???? ?????? ??????? ?? ?????????,,,,,,,,,"selected(${x_form},'2')",,,,
image,x_form_picture_4,Please take a picture of the fourth page of the form,????? ????? ???? ?????? ??????? ?? ?????????,,,,,,,,,"selected(${x_form},'2')",,,,
image,x_form_picture_5,Please take a picture of the fifth page of the form,????? ????? ???? ?????? ??????? ?? ?????????,,,,,,,,,"selected(${x_form},'2')",,,,
end_group,G0_End,,,,,,,,,,,,,,,
